HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Entrez Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)	UniProt ID(supplied by UniProt)	Ensembl ID(supplied by Ensembl)
HGNC:2458	CSNK2A3	CSNK2A1P		283106	NM_001256686	Q8NEV1	ENSG00000254598
HGNC:2460	CSNK2B		Ckb1, Ckb2	1460	NM_001282385	P67870	ENSG00000204435
HGNC:53637	CSNKA2IP			111064647	XM_024453861	A0A1B0GTH6	ENSG00000283434
HGNC:2466	CSPG4		MCSPG, MEL-CSPG, MSK16, NG2, MCSP, HMW-MAA	1464	NM_001897	Q6UVK1	ENSG00000173546
HGNC:16478	CSPG4P1Y	CSPG4LYP1, CSPG4P1		114758	NR_001554		ENSG00000240450
HGNC:32424	CSPG4P2Y	CSPG4LYP2, CSPG4P2		84664	NG_004755		ENSG00000244231
HGNC:38111	CSPG4P3Y	CSPG4P3, CSPG4P6Y		100287261	NG_022958		ENSG00000172342
HGNC:38535	CSPG4P4Y	CSPG4P4, CSPG4P7Y		100287502	NG_022953		ENSG00000172294
HGNC:29403	CSPG4P5			114817	NG_006511		ENSG00000272887
HGNC:48359	CSPG4P8						
HGNC:48360	CSPG4P9			642288	NG_012729		
HGNC:48361	CSPG4P10			390627	NG_022135		ENSG00000276710
HGNC:48363	CSPG4P11			100631254	NG_029302		ENSG00000259726
HGNC:48362	CSPG4P12			728121	NG_022136		ENSG00000259295
HGNC:49195	CSPG4P13			100302666	NG_012725		ENSG00000260139
HGNC:2467	CSPG5		NGC	10675	NM_001206942	O95196	ENSG00000114646
HGNC:26193	CSPP1		FLJ22490, CSPP, JBTS21	79848	NM_001291339	Q1MSJ5	ENSG00000104218
HGNC:14300	CSRNP1	AXUD1	URAX1, DKFZp566F164, FAM130B, TAIP-3	64651	NM_001320559	Q96S65	ENSG00000144655
HGNC:16006	CSRNP2	C12orf22, FAM130A1	C12ORF2, TAIP-12, PPP1R72	81566	NM_030809	Q9H175	ENSG00000110925
HGNC:30729	CSRNP3	FAM130A2	FLJ32093, TAIP-2, PPP1R73	80034	NM_001172173	Q8WYN3	ENSG00000178662
HGNC:2469	CSRP1	CYRP	CSRP, D1S181E	1465	NM_001193570	P21291	ENSG00000159176
HGNC:2470	CSRP2		SmLIM, CRP2, LMO5	1466	NM_001300965	Q16527	ENSG00000175183
HGNC:2471	CSRP2P1	CSRP2P		1467	NG_000852		
HGNC:2472	CSRP3		CLP, MLP, CMD1M	8048	NM_003476	P50461	ENSG00000129170
HGNC:2473	CST1			1469	NM_001898	P01037	ENSG00000170373
HGNC:2474	CST2			1470	NM_001322	P09228	ENSG00000170369
HGNC:45042	CST2P1			101410546	NG_033231		ENSG00000232595
HGNC:2475	CST3			1471	NM_000099	P01034	ENSG00000101439
HGNC:2476	CST4			1472	NM_001899	P01036	ENSG00000101441
HGNC:2477	CST5			1473	NM_001900	P28325	ENSG00000170367
HGNC:2478	CST6			1474	NM_001323	Q15828	ENSG00000175315
HGNC:2479	CST7			8530	NM_003650	O76096	ENSG00000077984
HGNC:2480	CST8		CRES, CTES5	10047	NM_001281730	O60676	ENSG00000125815
HGNC:13261	CST9		CLM, CTES7A	128822	NM_001008693	Q5W186	ENSG00000173335
HGNC:16233	CST9L		bA218C14.1, CTES7B	128821	NM_080610	Q9H4G1	ENSG00000101435
HGNC:39552	CST9LP1		CTES7C	128820	NG_029361	Q5W188	ENSG00000204662
HGNC:44337	CST9LP2		CTES7D	106480788	NG_044076		ENSG00000204658
HGNC:15959	CST11	CST8L	dJ322G13.6, CTES2	140880	NM_080830	Q9H112	ENSG00000125831
HGNC:31920	CST12P		Cst, E2, Ctes4	106478911	NG_044988		ENSG00000226344
HGNC:44335	CST13P		CTES6, CSTT	164380	NR_001279		ENSG00000204663
HGNC:2481	CSTA	STF1, STFA		1475	NM_005213	P01040	ENSG00000121552
HGNC:2482	CSTB	EPM1, STFB	CST6, PME	1476	NM_000100	P04080	ENSG00000160213
HGNC:2483	CSTF1			1477	NM_001033521	Q05048	ENSG00000101138
HGNC:2484	CSTF2		CstF-64	1478	NM_001306206	P33240	ENSG00000101811
HGNC:17086	CSTF2T		DKFZp434C1013, KIAA0689, CstF-64T, tauCstF-64	23283	NM_015235	Q9H0L4	ENSG00000177613
HGNC:2485	CSTF3		CstF-77	1479	NM_001033505	Q12996	ENSG00000176102
HGNC:27882	CSTF3-DT	CSTF3-AS1		338739	NR_034027		ENSG00000247151
HGNC:15958	CSTL1		dJ322G13.4, CTES1	128817	NM_138283	Q9H114	ENSG00000125823
HGNC:2486	CSTP1		dJ850N15.1	1480	NG_001020		ENSG00000228476
HGNC:2487	CSTP2			1481	NG_029332		ENSG00000277975
HGNC:33267	CT45A1		CT45-1, CT45.1	541466	NM_001017417	Q5HYN5	ENSG00000268940
HGNC:28400	CT45A2		CT45-2, CT45.2	728911	NM_152582	Q5DJT8	ENSG00000271449
HGNC:33268	CT45A3	CT45A4	CT45-3, CT45.3, CT45-4, CT45.4	441519	NM_001017435	Q8NHU0	ENSG00000269096
HGNC:33270	CT45A5		CT45-5, CT45.5	441521	NM_001007551	P0DMU8	ENSG00000228836
HGNC:33271	CT45A6		CT45-6, CT45.6	541465	NM_001017438	P0DMU7	ENSG00000278289
HGNC:51260	CT45A7			101060211	NM_001291543	P0DMV0	ENSG00000273696
HGNC:51261	CT45A8			102723737	NM_001291535	P0DMV1	ENSG00000278085
HGNC:51262	CT45A9			102723680	NM_001291540	P0DMV2	ENSG00000270946
HGNC:51263	CT45A10			102723631	NM_001291527	P0DMU9	ENSG00000269586
HGNC:51336	CT45A11P			100129813	NG_022641		ENSG00000230162
HGNC:33580	CT45B1P			100337646	NG_016473		
HGNC:33282	CT47A1		CT47.1	728096	NM_001080146	Q5JQC4	ENSG00000236371
HGNC:33283	CT47A2		CT47.2	728090	NM_001080145	Q5JQC4	ENSG00000242362
HGNC:33284	CT47A3		CT47.3	728082	NM_001080144	Q5JQC4	ENSG00000236126
HGNC:33285	CT47A4		CT47.4	728075	NM_001080143	Q5JQC4	ENSG00000230594
HGNC:33286	CT47A5		CT47.5	728072	NM_001080142	Q5JQC4	ENSG00000237957
HGNC:33287	CT47A6		CT47.6	728062	NM_001080141	Q5JQC4	ENSG00000226023
HGNC:33288	CT47A7		CT47.7	653282	NM_001080140	Q5JQC4	ENSG00000228517
HGNC:33289	CT47A8		CT47.8	728049	NM_001080139	Q5JQC4	ENSG00000230347
HGNC:33290	CT47A9		CT47.9	728042	NM_001080138	Q5JQC4	ENSG00000226600
HGNC:33291	CT47A10		CT47.10	728036	NM_001080137	Q5JQC4	ENSG00000224089
HGNC:27397	CT47A11		CT47.11	255313	NM_173571	Q5JQC4	ENSG00000226929
HGNC:33292	CT47A12		CT47.12	100507170	NM_001242922	Q5JQC4	ENSG00000226685
HGNC:33293	CT47B1		CT47.13	643311	NM_001145718	P0C2W7	ENSG00000236446
HGNC:26047	CT55	CXorf48	FLJ20527	54967	NM_001031705	Q8WUE5	ENSG00000169551
HGNC:27286	CT62			196993	NM_001102658	P0C5K7	ENSG00000225362
HGNC:33494	CT83	CXorf61	KK-LC-1, FLJ20611, FLJ22913	203413	NM_001017978	Q5H943	ENSG00000204019
HGNC:2489	CTAA1			1483			
HGNC:2490	CTAA2			1484			
HGNC:24198	CTAG1A		LAGE2A, ESO1	246100	NM_139250	P78358	ENSG00000268651
HGNC:2491	CTAG1B	CTAG, CTAG1	NY-ESO-1, LAGE2B, LAGE2A, ESO1, CT6.1	1485	NM_001327	P78358	ENSG00000184033
HGNC:2492	CTAG2		LAGE-1, CAMEL, LAGE1, ESO2, MGC3803, MGC138724, CT6.2a, CT6.2b, LAGE-1a, LAGE-1b	30848	NM_020994	O75638	ENSG00000126890
HGNC:24346	CTAGE1		cTAGE-1, cTAGE-2, CTAGE, CT21.1, CT21.2	64693	NM_172241	Q96RT6, Q9HC47	ENSG00000212710
HGNC:24348	CTAGE3P	CTAGE3	cTAGE-3	220112	NG_006514	Q8IX95	ENSG00000232872
HGNC:24772	CTAGE4		FLJ43692, cTAGE-4	100128553	NM_198495	Q8IX94	ENSG00000225932
HGNC:7057	CTAGE5	MGEA, MGEA6	MEA6, cTAGE-5A, cTAGE-5B, cTAGE-5C, cTAGE-5D, MGEA11		NG_030349	O15320	ENSG00000150527
HGNC:28644	CTAGE6	CTAGE6P	MGC41943	340307	NM_178561	Q86UF2	ENSG00000271321
HGNC:25111	CTAGE7P	CTAGEP, CTAGE7	bA500G10.2, MGC33437, rcCTAGE5	119437	NR_044994		ENSG00000233122
HGNC:37294	CTAGE8			100142659	NM_001278507	P0CG41	ENSG00000244693
HGNC:37275	CTAGE9			643854	NM_001145659	A4FU28	ENSG00000236761
HGNC:37288	CTAGE10P			220429	NR_003268		ENSG00000181358
HGNC:37293	CTAGE11P			647288	NR_027466		ENSG00000214249
HGNC:37297	CTAGE12P			392298	NG_028957		ENSG00000215441
HGNC:37298	CTAGE13P			100421638	NG_025892		ENSG00000230711
HGNC:37299	CTAGE14P			401018	NG_021536		ENSG00000214211
HGNC:37295	CTAGE15	CTAGE15P		441294	NM_001008747	A4D2H0	ENSG00000271079
HGNC:41967	CTAGE16P			341689	NG_022898		ENSG00000214335
HGNC:2494	CTBP1		BARS	1487	NM_001012614	Q13363	ENSG00000159692
HGNC:48337	CTBP1-AS		PCAT10	285463	NR_104331		ENSG00000280927
HGNC:28307	CTBP1-DT	C4orf42, CTBP1-AS1, CTBP1-AS2	MGC21675	92070	NR_033339		ENSG00000196810
HGNC:2495	CTBP2		ribeye	1488	NM_001083914	P56545	ENSG00000175029
HGNC:23940	CTBP2P1			352905	NG_002808		ENSG00000235857
HGNC:45194	CTBP2P2			100130970	NG_022155		ENSG00000235746
HGNC:45195	CTBP2P3			220147	NG_022494		ENSG00000267153
HGNC:45196	CTBP2P4			642909	NG_021892		ENSG00000251102
HGNC:45197	CTBP2P5			646936	NG_021499		ENSG00000214602
HGNC:45198	CTBP2P6			120449	NG_021815		ENSG00000213697
HGNC:45199	CTBP2P7			401914	NG_021748		ENSG00000267091
HGNC:45200	CTBP2P8			100420253	NG_026947		ENSG00000234383
HGNC:2496	CTBS	CTB		1486	NM_004388	Q01459	ENSG00000117151
HGNC:26169	CTC1	C17orf68	FLJ22170, AAF132	80169	NM_025099	Q2NKJ3	ENSG00000178971
HGNC:13723	CTCF			10664	NM_001191022	P49711	ENSG00000102974
HGNC:16234	CTCFL		dJ579F20.2, BORIS, CT27	140690	NM_001269040	Q8NI51	ENSG00000124092
HGNC:2497	CTD			1283			
HGNC:19085	CTDNEP1	DULLARD	HSA011916, NET56	23399	NM_001143775	O95476	ENSG00000175826
HGNC:2498	CTDP1		FCP1	9150	NM_001202504	Q9Y5B0	ENSG00000060069
HGNC:21614	CTDSP1		NLIIF, SCP1	58190	NM_001206878	Q9GZU7	ENSG00000144579
HGNC:17077	CTDSP2		OS4, SCP2, PSR2	10106	NM_005730	O14595	ENSG00000175215
HGNC:16890	CTDSPL	C3orf8	HYA22, SCP3, PSR1, RBSP3	10217	NM_001008392	O15194	ENSG00000144677
HGNC:26936	CTDSPL2		HSPC129, FLJ10523	51496	NM_016396	Q05D32	ENSG00000137770
HGNC:2499	CTF1		CT-1, CT1	1489	NM_001142544	Q16619	ENSG00000150281
HGNC:33173	CTF2P		NP	100289419	NG_033188		ENSG00000230447
HGNC:2500	CTGF		IGFBP8, CCN2	1490	NM_001901	P29279	ENSG00000118523
HGNC:2501	CTH			1491	NM_001190463	P32929	ENSG00000116761
HGNC:2502	CTHM						
HGNC:18831	CTHRC1			115908	NM_001256099	Q96CG8	ENSG00000164932
HGNC:50463	CTHRC1P1			106480299	NG_044248		ENSG00000271005
HGNC:23925	CTIF	KIAA0427		9811	NM_001142397	O43310	ENSG00000134030
HGNC:2505	CTLA4	CELIAC3, IDDM12	CD152, CD, GSE	1493	NM_001037631	P16410	ENSG00000163599
HGNC:2509	CTNNA1		CAP102	1495	NM_001290307	P35221	ENSG00000044115
HGNC:2513	CTNNA1P1	CTNNAP1		1498	NG_001110		ENSG00000249026
HGNC:2510	CTNNA2		CAP-R, CT114	1496	NM_001164883	P26232	ENSG00000066032
HGNC:2511	CTNNA3		VR22, MGC26194	29119	NM_001127384	Q9UI47	ENSG00000183230
HGNC:2512	CTNNAL1		CLLP, alpha-CATU	8727	NM_001286974	Q9UBT7	ENSG00000119326
HGNC:2514	CTNNB1	CTNNB	beta-catenin, armadillo	1499	NM_001098209	P35222	ENSG00000168036
HGNC:16913	CTNNBIP1		ICAT, MGC15093	56998	NM_001012329	Q9NSA3	ENSG00000178585
HGNC:15879	CTNNBL1	C20orf33	FLJ21108, P14L, P14, NAP, NYD-SP19	56259	NM_001281495	Q8WYA6	ENSG00000132792
HGNC:2515	CTNND1	CTNND	KIAA0384, p120, p120cas, p120ctn	1500	NM_001085458	O60716	ENSG00000198561
HGNC:2516	CTNND2		NPRAP, GT24	1501	NM_001288715	Q9UQB3	ENSG00000169862
HGNC:2518	CTNS		CTNS-LSB, PQLC4	1497	NM_001031681	O60931	ENSG00000040531
HGNC:30997	CTPL1		CAAR	81863			
HGNC:2519	CTPS1	CTPS	GATD5	1503	NM_001301237	P17812	ENSG00000171793
HGNC:2520	CTPS2			56474	NM_001144002	Q9NRF8	ENSG00000047230
HGNC:16850	CTR9	SH2BP1	KIAA0155, TSBP, p150TSP	9646	NM_001346279	Q6PD62	ENSG00000198730
HGNC:2521	CTRB1	CTRB		1504	NM_001329190	P17538	ENSG00000168925
HGNC:2522	CTRB2			440387	NM_001025200	Q6GPI1	ENSG00000168928
HGNC:2523	CTRC		CLCR, ELA4	11330	NM_007272	Q99895	ENSG00000162438
HGNC:2524	CTRL			1506	NM_001907	P40313	ENSG00000141086
HGNC:9251	CTSA	GSL, PPGB		5476	NM_000308	P10619	ENSG00000064601
HGNC:2527	CTSB			1508	NM_001317237	P07858	ENSG00000164733
HGNC:2528	CTSC	PLS, PALS	DPP1	1075	NM_001114173	P53634	ENSG00000109861
HGNC:2529	CTSD	CPSD	CLN10	1509	NM_001909	P07339	ENSG00000117984
HGNC:2530	CTSE			1510	NM_001317331	P14091	ENSG00000196188
HGNC:2531	CTSF		CATSF, CLN13	8722	NM_003793	Q9UBX1	ENSG00000174080
HGNC:2532	CTSG		CG	1511	NM_001911	P08311	ENSG00000100448
HGNC:2535	CTSH	CPSB	ACC-4, ACC-5, ACC4, ACC5	1512	NM_001319137	P09668	ENSG00000103811
HGNC:2536	CTSK	CTSO2, CTSO, PYCD	PKND	1513	NM_000396	P43235	ENSG00000143387
HGNC:2537	CTSL	CTSL1	FLJ31037	1514	NM_001257971	P07711	ENSG00000135047
HGNC:33132	CTSL3P	CTSL3	HCTSL-s	392360	NR_027917	Q5NE16	ENSG00000188029
HGNC:2539	CTSLP1	CTSLL, CTSLL1, CTSL1P1		118945	NG_009858		ENSG00000236417
HGNC:2540	CTSLP2	CTSLL2, CTSL1P2, CTSLP5, CTSLL5, CTSL1P5, CTSLP7, CTSLL7, CTSL1P7	bA342C24.4, bA144G6.6	1517	NR_033407		ENSG00000266217
HGNC:2541	CTSLP3	CTSLL3, CTSL1P3		644021	NG_016830		
HGNC:23645	CTSLP4	CTSLL4, CTSL1P4	bA564C4.3, OTTHUMG00000018237	644496	NG_021158		ENSG00000230011
HGNC:23611	CTSLP6	CTSLL6, CTSL1P6	bA479O17.1	642413	NG_021157		ENSG00000204437
HGNC:39084	CTSLP8	CTSL1P8		1518	NR_033405		ENSG00000234575
HGNC:2542	CTSO	CTSO1		1519	NM_001334	P43234	ENSG00000256043
HGNC:2545	CTSS			1520	NM_001199739	P25774	ENSG00000163131
HGNC:2538	CTSV	CTSL2	CTSU	1515	NM_001201575	O60911	ENSG00000136943
HGNC:2546	CTSW			1521	NM_001335	P56202	ENSG00000172543
HGNC:2547	CTSZ		CTSX	1522	NM_001336	Q9UBR2	ENSG00000101160
HGNC:3338	CTTN	EMS1		2017	NM_001184740	Q14247	ENSG00000085733
HGNC:15679	CTTNBP2	CORTBP2, C7orf8	KIAA1758, Orf4	83992	NM_033427	Q8WZ74	ENSG00000077063
HGNC:25330	CTTNBP2NL		DKFZp547A023	55917	NM_018704	Q9P2B4	ENSG00000143079
HGNC:29590	CTU1	ATPBD3	MGC17332, NCS6	90353	NM_145232	Q7Z7A3	ENSG00000142544
HGNC:28005	CTU2	C16orf84	NCS2	348180	NM_001012759	Q2VPK5	ENSG00000174177
HGNC:31108	CTXN1		FLJ25968	404217	NM_206833	P60606	ENSG00000178531
HGNC:31109	CTXN2			399697	NM_001145668	P0C2S0	ENSG00000233932
HGNC:31110	CTXN3			613212	NM_001048252	Q4LDR2	ENSG00000205279
HGNC:50507	CTXND1	LINC01314		100996492	NM_001352888	A0A1B0GTU2	ENSG00000259417
HGNC:53440	CTXND2			100996521	NR_148929	A0A1B0GV90	ENSG00000283324
HGNC:2548	CUBN	MGA1	IFCR, gp280	8029	NM_001081	O60494	ENSG00000107611
HGNC:44983	CUBNP1			728064	NG_023216		ENSG00000231009
HGNC:44984	CUBNP2			100289280			ENSG00000234993
HGNC:44985	CUBNP3			100421634	NG_025491		ENSG00000235690
HGNC:31350	CUEDC1			404093	NM_001271875	Q9NWM3	ENSG00000180891
HGNC:28352	CUEDC2	C10orf66	MGC2491	79004	NM_024040	Q9H467	ENSG00000107874
HGNC:2551	CUL1			8454	NM_003592	Q13616	ENSG00000055130
HGNC:49567	CUL1P1			100288463	NG_021863		ENSG00000251032
HGNC:2552	CUL2			8453	NM_001198777	Q13617	ENSG00000108094
HGNC:2553	CUL3			8452	NM_001257197	Q13618	ENSG00000036257
HGNC:2554	CUL4A			8451	NM_001008895	Q13619	ENSG00000139842
HGNC:44027	CUL4AP1			100129008	NG_022031		ENSG00000248139
HGNC:2555	CUL4B			8450	NM_001079872	Q13620	ENSG00000158290
HGNC:2556	CUL5		VACM-1	8065	NM_003478	Q93034	ENSG00000166266
HGNC:21024	CUL7	KIAA0076	dJ20C7.5	9820	NM_001168370	Q14999	ENSG00000044090
HGNC:15982	CUL9		H7AP1, KIAA0708, PARC	23113	NM_015089	Q8IWT3	ENSG00000112659
HGNC:21101	CUTA	C6orf82, ACHAP		51596	NM_001014433	O60888	ENSG00000112514
HGNC:27367	CUTALP	PSMD5-AS1		253039	NR_024408		ENSG00000226752
HGNC:24271	CUTC		CGI-32	51076	NM_015960	Q9NTM9	ENSG00000119929
HGNC:2557	CUX1	CUTL1	CDP, CDP1, CUX, CUT, Clox, CDP/Cut, CDP/Cux, Cux/CDP, CASP, GOLIM6	1523	NM_001202543	P39880, Q13948	ENSG00000257923
HGNC:19347	CUX2	CUTL2	KIAA0293, CDP2	23316	NM_015267	O14529	ENSG00000111249
HGNC:33694	CUX2P1			100126596	NG_028748		ENSG00000272436
HGNC:33695	CUX2P2			100126597			
HGNC:17937	CUZD1		ERG-1, UO-44	50624	NM_022034	Q86UP6	ENSG00000138161
HGNC:26939	CWC15		C11orf5, HSPC148, Cwf15, AD002	51503	NM_016403	Q9P013	ENSG00000150316
HGNC:29322	CWC22		KIAA1604, EIF4GL, fSAPb, NCM	57703	NM_020943	Q9HCG8	ENSG00000163510
HGNC:25989	CWC25	CCDC49	FLJ20291	54883	NM_017748	Q9NXE8	ENSG00000273559
HGNC:10664	CWC27	SDCCAG10	NY-CO-10, SDCCAG-10	10283	NM_001297644	Q6UX04	ENSG00000153015
HGNC:25613	CWF19L1		FLJ10998, hDrn1	55280	NM_001303404	Q69YN2	ENSG00000095485
HGNC:26508	CWF19L2		FLJ32343	143884	NM_152434	Q2TBE0	ENSG00000152404
HGNC:26133	CWH43		FLJ21511, CWH43-C, PGAP2IP	80157	NM_001286791	Q9H720	ENSG00000109182
HGNC:10647	CX3CL1	SCYD1	NTN, C3Xkine, ABCD-3, CXC3C, CXC3, fractalkine, neurotactin	6376	NM_001304392	P78423	ENSG00000006210
HGNC:2558	CX3CR1	GPR13, CMKBRL1	CMKDR1, V28, CCRL1	1524	NM_001171171	P49238	ENSG00000168329
HGNC:2559	CXADR		CAR	1525	NM_001207063	P78310	ENSG00000154639
HGNC:23770	CXADRP1		CAR, CXADRP	653108	NG_008739		ENSG00000214319
HGNC:33973	CXADRP2			646243	NR_024387		ENSG00000258712
HGNC:33974	CXADRP3			440224	NR_024076		ENSG00000265766
HGNC:2560	CXB3S			1526			
HGNC:4602	CXCL1	MGSA, GRO1, FSP	SCYB1, GROa, MGSA-a, NAP-3	2919	NM_001511	P09341	ENSG00000163739
HGNC:10641	CXCL1P1	SCYB1P, CXCL1P	MGSAP, GROP, GRO1P	50612	NG_001275		ENSG00000250339
HGNC:4603	CXCL2	GRO2	SCYB2, GROb, MIP-2a, MGSA-b, CINC-2a	2920	NM_002089	P19875	ENSG00000081041
HGNC:4604	CXCL3	GRO3	SCYB3, GROg, MIP-2b, CINC-2b	2921	NM_002090	P19876	ENSG00000163734
HGNC:10642	CXCL5	SCYB5	ENA-78	6374	NM_002994	P42830	ENSG00000163735
HGNC:10643	CXCL6	SCYB6	GCP-2, CKA-3	6372	NM_002993	P80162	ENSG00000124875
HGNC:6025	CXCL8	IL8	SCYB8, LUCT, LECT, MDNCF, TSG-1, IL-8, NAP-1, 3-10C, MONAP, AMCF-I, LYNAP, NAF, b-ENAP, GCP-1, K60, GCP1, NAP1	3576	NM_000584	P10145	ENSG00000169429
HGNC:7098	CXCL9	CMK, MIG	SCYB9, Humig, crg-10	4283	NM_002416	Q07325	ENSG00000138755
HGNC:10637	CXCL10	INP10, SCYB10	IFI10, IP-10, crg-2, mob-1, C7, gIP-10	3627	NM_001565	P02778	ENSG00000169245
HGNC:10638	CXCL11	SCYB9B, SCYB11	H174, b-R1, I-TAC, IP-9	6373	NM_001302123	O14625	ENSG00000169248
HGNC:10672	CXCL12	SDF1A, SDF1B, SDF1	SCYB12, SDF-1a, SDF-1b, PBSF, TLSF-a, TLSF-b, TPAR1	6387	NM_000609	P48061	ENSG00000107562
HGNC:10639	CXCL13	SCYB13	BLC, BCA-1, BLR1L, ANGIE, ANGIE2	10563	NM_006419	O43927	ENSG00000156234
HGNC:10640	CXCL14	SCYB14	BRAK, NJAC, bolekine, Kec, MIP-2g, BMAC, KS1	9547	NM_004887	O95715	ENSG00000145824
HGNC:16642	CXCL16		SR-PSOX, CXCLG16, SRPSOX	58191	NM_001100812	Q9H2A7	ENSG00000161921
HGNC:19232	CXCL17		Dcip1, UNQ473, DMC, VCC1	284340	NM_198477	Q6UXB2	ENSG00000189377
HGNC:6026	CXCR1	CMKAR1, IL8RA	CKR-1, CDw128a, CD181	3577	NM_000634	P25024	ENSG00000163464
HGNC:6027	CXCR2	IL8RB	CMKAR2, CD182	3579	NM_001168298	P25025	ENSG00000180871
HGNC:6028	CXCR2P1	IL8RBP, CXCR2P		3580	NR_002712		ENSG00000229754
HGNC:4540	CXCR3	GPR9	CKR-L2, CMKAR3, IP10-R, MigR, CD183	2833	NM_001142797	P49682	ENSG00000186810
HGNC:2561	CXCR4		LESTR, NPY3R, HM89, NPYY3R, D2S201E, fusin, HSY3RR, NPYR, CD184	7852	NM_001008540	P61073	ENSG00000121966
HGNC:1060	CXCR5	BLR1	MDR15, CD185	643	NM_001716	P32302	ENSG00000160683
HGNC:16647	CXCR6		TYMSTR, STRL33, BONZO, CD186	10663	NM_006564	O00574	ENSG00000172215
HGNC:25667	CXorf21		FLJ11577	80231	NM_025159	Q9HAI6	ENSG00000120280
HGNC:25866	CXorf36		FLJ14103, DIA1R	79742	NM_024689	Q9H7Y0	ENSG00000147113
HGNC:28589	CXorf38		MGC39350	159013	NM_001330455	Q8TB03	ENSG00000185753
HGNC:28089	CXorf40A	CXorf40	EOLA1	91966	NM_001171907	Q8TE69	ENSG00000197620
HGNC:17402	CXorf40B			541578	NM_001013845	Q96DE9	ENSG00000197021
HGNC:30891	CXorf49			100130361	NM_001145140	A8MYA2	ENSG00000215115
HGNC:34229	CXorf49B			100132994	NM_001145139	A8MYA2	ENSG00000215113
HGNC:30533	CXorf51A	CXorf51		100129239	NM_001144064		ENSG00000224440
HGNC:42787	CXorf51B			100133053	NM_001244892		ENSG00000235699
HGNC:26239	CXorf56		FLJ22965	63932	NM_001170569	Q9H5V9	ENSG00000018610
HGNC:25486	CXorf57		FLJ14191, FLJ10178	55086	NM_001184782	Q6NSI4	ENSG00000147231
HGNC:26356	CXorf58		FLJ25444	254158	NM_001169574	Q96LI9	ENSG00000165182
HGNC:33713	CXorf65			158830	NM_001025265	A6NEN9	ENSG00000204165
HGNC:33743	CXorf66		RP11-35F15.2, SGPX	347487	NM_001013403	Q5JRM2	ENSG00000203933
HGNC:33738	CXorf67			340602	NM_203407	Q86X51	ENSG00000187690
HGNC:24343	CXXC1		HsT2645, PCCX1, hCGBP, PHF18, CGBP, SPP1, CFP1, ZCGPC1	30827	NM_001101654	Q9P0U4	ENSG00000154832
HGNC:27864	CXXC1P1	CXorf25, NCRNA00236	FLJ36789	392459	NR_033924		ENSG00000187893
HGNC:24593	CXXC4		IDAX	80319	NM_025212	Q9H2H0	ENSG00000168772
HGNC:41054	CXXC4-AS1			101929468	NR_125926		ENSG00000245384
HGNC:26943	CXXC5		HSPC195, RINF, WID	51523	NM_001317199	Q7LFL8	ENSG00000171604
HGNC:53009	CXXC5-AS1			111082989	NR_149086		ENSG00000250635
HGNC:2570	CYB5A	CYB5		1528	NM_001190807	P00167	ENSG00000166347
HGNC:2573	CYB5AP2	CYB5P2		100128621	NG_016583		
HGNC:2574	CYB5AP3	CYB5P3	Psgb-5-1	1531	NG_002437		
HGNC:2575	CYB5AP4	CYB5P4	bA189G24.1, Psgb-5-2	1532	NG_001021		ENSG00000213882
HGNC:2576	CYB5AP5	CYB5P5		100289051	NG_029049		ENSG00000257503
HGNC:24374	CYB5B		CYB5-M	80777	NM_030579	O43169	ENSG00000103018
HGNC:26516	CYB5D1		FLJ32499	124637	NM_001330110	Q6P9G0	ENSG00000182224
HGNC:28471	CYB5D2		MGC32124	124936	NM_001254755	Q8WUJ1	ENSG00000167740
HGNC:13397	CYB5R1	NQO3A2	humb5R2	51706	NM_016243	Q9UHQ9	ENSG00000159348
HGNC:24376	CYB5R2			51700	NM_001302826	Q6BCY4	ENSG00000166394
HGNC:2873	CYB5R3	DIA1		1727	NM_000398	P00387	ENSG00000100243
HGNC:20147	CYB5R4	NCB5OR	b5+b5R, dJ676J13.1	51167	NM_016230	Q7L1T6	ENSG00000065615
HGNC:32220	CYB5RL		LOC606495	606495	NM_001031672	Q6IPT4	ENSG00000215883
HGNC:2571	CYB561		FRRS2, CYB561A1	1534	NM_001017916	P49447	ENSG00000008283
HGNC:23014	CYB561A3	CYBASC3		220002	NM_001161452	Q8NBI2	ENSG00000162144
HGNC:26804	CYB561D1		FLJ39035, FLJ44753	284613	NM_001134400	Q8N8Q1	ENSG00000174151
HGNC:30253	CYB561D2		101F6, TSP10	11068	NM_001291284	O14569	ENSG00000114395
HGNC:2577	CYBA		p22-PHOX	1535	NM_000101	P13498	ENSG00000051523
HGNC:2578	CYBB	CGD	GP91-PHOX, NOX2	1536	NM_000397	P04839	ENSG00000165168
HGNC:28672	CYBC1	C17orf62	MGC4368, FLJ90469, Eros	79415	NM_001033046	Q9BQA9	ENSG00000178927
HGNC:20797	CYBRD1		DCYTB, FLJ23462, FRRS3, CYB561A2	79901	NM_001127383	Q53TN4	ENSG00000071967
HGNC:2579	CYC1		UQCR4	1537	NM_001916	P08574	ENSG00000179091
HGNC:19986	CYCS		HCS, CYC	54205	NM_018947	P99999	ENSG00000172115
HGNC:20095	CYCSP1		HC5, HCP36	122950	NG_002985		ENSG00000271423
HGNC:24410	CYCSP2		HCP37	360183	NG_002986		ENSG00000259547
